当前股票 000852 股票名字 石化机械 评级为: B  .............. i =243 , i的余数为 1
当前股票 600862 股票名字 中航高科 评级为: B  .............. i =244 , i的余数为 0
当前股票 000524 股票名字 岭南控股 评级为: B+ .............. i =245 , i的余数为 1
当前股票 603648 股票名字 畅联股份 评级为: B  .............. i =246 , i的余数为 0
当前股票 000633 股票名字 合金投资 评级为: C- .............. i =247 , i的余数为 1
当前股票 300398 股票名字 飞凯材料 评级为: A  .............. i =248 , i的余数为 0
当前股票 600998 股票名字 九州通 评级为: B+ .............. i =249 , i的余数为 1
当前股票 000687 股票名字 华讯方舟 评级为: B- .............. i =250 , i的余数为 0
当前股票 000958 股票名字 东方能源 评级为: B- .............. i =251 , i的余数为 1
当前股票 603637 股票名字 镇海股份 评级为: B+ .............. i =252 , i的余数为 0
当前股票 300123 股票名字 亚光科技 评级为: C  .............. i =253 , i的余数为 1
当前股票 000895 股票名字 双汇发展 评级为: A  .............. i =254 , i的余数为 0
当前股票 000975 股票名字 银泰资源 评级为: B+ .............. i =255 , i的余数为 1
当前股票 000789 股票名字 万年青 评级为: A+ .............. i =256 , i的余数为 0
当前股票 603233 股票名字 大参林 评级为: A  .............. i =257 , i的余数为 1
当前股票 600539 股票名字 狮头股份 评级为: B  .............. i =258 , i的余数为 0
当前股票 000856 股票名字 冀东装备 评级为: B- .............. i =259 , i的余数为 1
当前股票 600620 股票名字 天宸股份 评级为: B+ .............. i =260 , i的余数为 0
当前股票 600552 股票名字 凯盛科技 评级为: B+ .............. i =261 , i的余数为 1
当前股票 300137 股票名字 先河环保 评级为: B- .............. i =262 , i的余数为 0
当前股票 603888 股票名字 新华网 评级为: B- .............. i =263 , i的余数为 1
当前股票 300278 股票名字 华昌达 评级为: B+ .............. i =264 , i的余数为 0
当前股票 601678 股票名字 滨化股份 评级为: A+ .............. i =265 , i的余数为 1
当前股票 002415 股票名字 海康威视 评级为: A+ .............. i =266 , i的余数为 0
当前股票 300127 股票名字 银河磁体 评级为: B+ .............. i =267 , i的余数为 1
当前股票 600331 股票名字 宏达股份 评级为: B- .............. i =268 , i的余数为 0
当前股票 000060 股票名字 中金岭南 评级为: A  .............. i =269 , i的余数为 1
当前股票 300320 股票名字 海达股份 评级为: B  .............. i =270 , i的余数为 0
当前股票 600500 股票名字 中化国际 评级为: B  .............. i =271 , i的余数为 1
当前股票 603085 股票名字 天成自控 评级为: B+ .............. i =272 , i的余数为 0
当前股票 002128 股票名字 露天煤业 评级为: A+ .............. i =273 , i的余数为 1
当前股票 002827 股票名字 高争民爆 评级为: A  .............. i =274 , i的余数为 0
当前股票 000571 股票名字 新大洲Ａ 评级为: C+ .............. i =275 , i的余数为 1
当前股票 601168 股票名字 西部矿业 评级为: B  .............. i =276 , i的余数为 0
当前股票 600111 股票名字 北方稀土 评级为: B+ .............. i =277 , i的余数为 1
当前股票 603466 股票名字 风语筑 评级为: A  .............. i =278 , i的余数为 0
当前股票 002492 股票名字 恒基达鑫 评级为: B  .............. i =279 , i的余数为 1
当前股票 601899 股票名字 紫金矿业 评级为: A  .............. i =280 , i的余数为 0
当前股票 002634 股票名字 棒杰股份 评级为: B- .............. i =281 , i的余数为 1
当前股票 002045 股票名字 国光电器 评级为: A  .............. i =282 , i的余数为 0
当前股票 600768 股票名字 宁波富邦 评级为: B- .............. i =283 , i的余数为 1
当前股票 002508 股票名字 老板电器 评级为: A+ .............. i =284 , i的余数为 0
当前股票 600176 股票名字 中国巨石 评级为: A+ .............. i =285 , i的余数为 1
当前股票 002625 股票名字 光启技术 评级为: B  .............. i =286 , i的余数为 0
当前股票 603725 股票名字 天安新材 评级为: B- .............. i =287 , i的余数为 1
当前股票 000963 股票名字 华东医药 评级为: A+ .............. i =288 , i的余数为 0
当前股票 601003 股票名字 柳钢股份 评级为: A  .............. i =289 , i的余数为 1
当前股票 002326 股票名字 永太科技 评级为: B  .............. i =290 , i的余数为 0
当前股票 601500 股票名字 通用股份 评级为: B  .............. i =291 , i的余数为 1
当前股票 600569 股票名字 安阳钢铁 评级为: B+ .............. i =292 , i的余数为 0
当前股票 300029 股票名字 天龙光电 评级为: D- .............. i =293 , i的余数为 1
当前股票 603421 股票名字 鼎信通讯 评级为: B+ .............. i =294 , i的余数为 0
当前股票 002883 股票名字 中设股份 评级为: A  .............. i =295 , i的余数为 1
当前股票 600765 股票名字 中航重机 评级为: B  .............. i =296 , i的余数为 0
当前股票 000878 股票名字 云南铜业 评级为: B+ .............. i =297 , i的余数为 1
